         1395536 function calls (1390085 primitive calls) in 4.644 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       82    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      101    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
      103    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       16    0.000    0.000    0.000    0.000 c_parser.py:306(_fix_decl_name_type)
       20    0.000    0.000    0.002    0.000 typing.py:177(_subs_tvars)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.002    0.002 pickle.py:181(<listcomp>)
       63    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      107    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       69    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_is_window_closed}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        8    0.000    0.000    0.000    0.000 plyparser.py:116(_create_param_rules)
       46    0.000    0.000    0.000    0.000 types.py:164(__get__)
       41    0.000    0.000    0.000    0.000 model.py:69(<listcomp>)
        1    0.000    0.000    0.002    0.002 console.py:47(Console)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       95    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.010    0.010 game_map.py:14(<listcomp>)
       34    0.000    0.000    0.000    0.000 c_lexer.py:475(t_ID)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.000    0.000 c_lexer.py:16(CLexer)
       28    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.049    0.049 api.py:41(__init__)
        1    0.000    0.000    0.014    0.014 multiarray.py:7(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       36    0.000    0.000    0.003    0.000 typing.py:630(copy_with)
       35    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       41    0.000    0.000    0.000    0.000 model.py:68(_get_items)
       15    0.000    0.000    0.001    0.000 c_parser.py:1106(p_direct_xxx_declarator_1)
       86    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       90    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        9    0.000    0.000    0.000    0.000 model.py:586(global_cache)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
       38    0.000    0.000    0.003    0.000 typing.py:1190(_alias)
       45    0.000    0.000    0.000    0.000 lex.py:726(<lambda>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       69    0.000    0.000    0.000    0.000 libtcodpy.py:527(mouse_p)
       48    0.000    0.000    0.001    0.000 typing.py:348(<genexpr>)
       77    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
        1    0.000    0.000    0.000    0.000 commontypes.py:1(<module>)
       39    0.000    0.000    0.000    0.000 typing.py:652(__eq__)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.003    0.003 linalg.py:10(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       61    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        1    0.000    0.000    0.470    0.470 __init__.py:17(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        9    0.000    0.000    0.000    0.000 game_map.py:55(create_room)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       53    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
       30    0.000    0.000    0.000    0.000 plyparser.py:49(_coord)
       24    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       32    0.000    0.000    0.001    0.000 plyparser.py:125(param_rule)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:370(<dictcomp>)
       74    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
